,url,w_Anth,w_Arxiv,pages_Anth,pages_Arxiv,Jaccard,cosine_abstract,day
889,https://aclanthology.org/2021.acl-long.2,8256.0,8209.0,15.0,15.0,0.9931147540983608,0.9992570877075196,56
890,https://aclanthology.org/W19-4316,3475.0,3446.0,6.0,6.0,0.9875097580015612,0.9380545616149902,41
891,https://aclanthology.org/2021.emnlp-main.407,7038.0,6567.0,12.0,11.0,0.9262187088274044,0.9908059239387512,224
892,https://aclanthology.org/N19-1422,5539.0,5487.0,12.0,12.0,0.9757330637007078,1.0,73
893,https://aclanthology.org/L18-1148,3658.0,3653.0,5.0,5.0,0.9961449498843484,,77
894,https://aclanthology.org/2021.inlg-1.34,2909.0,2869.0,6.0,5.0,0.9784853700516352,1.0,-3
895,https://aclanthology.org/D19-1306,7243.0,6605.0,13.0,11.0,0.4958474315595201,0.8406091928482056,274
896,https://aclanthology.org/P17-1145,7015.0,6947.0,12.0,12.0,0.9912524850894632,0.9999999403953552,68
897,https://aclanthology.org/2020.emnlp-main.297,10264.0,6379.0,15.0,10.0,0.4697547683923705,0.8473411798477173,211
898,https://aclanthology.org/2020.findings-emnlp.81,5064.0,5035.0,9.0,9.0,0.9883597883597884,1.0000001192092896,17
899,https://aclanthology.org/2021.konvens-1.22,2843.0,2843.0,5.0,5.0,1.0,,24
900,https://aclanthology.org/P18-1077,6984.0,6944.0,12.0,12.0,0.9922992299229924,1.0000001192092896,-239
901,https://aclanthology.org/D19-1259,6158.0,6112.0,11.0,11.0,0.9902127659574468,0.9867784976959229,49
902,https://aclanthology.org/2021.naacl-main.421,8883.0,8838.0,16.0,16.0,0.9897743300423132,1.0,47
903,https://aclanthology.org/2021.findings-emnlp.167,7182.0,7152.0,11.0,11.0,0.9928994082840236,1.0000001192092896,6
904,https://aclanthology.org/P19-1492,3457.0,3424.0,6.0,6.0,0.9868827160493828,1.0000001192092896,19
905,https://aclanthology.org/2021.emnlp-main.827,13593.0,11243.0,21.0,18.0,0.7242551489702059,0.985123872756958,199
906,https://aclanthology.org/2021.conll-1.41,10016.0,9979.0,16.0,16.0,0.9933634992458522,0.9802334904670716,41
907,https://aclanthology.org/2021.naacl-main.28,9115.0,8586.0,15.0,15.0,0.9172650640024976,1.000000238418579,228
908,https://aclanthology.org/P19-1186,7089.0,7050.0,12.0,12.0,0.9909427748044464,1.0,24
909,https://aclanthology.org/2020.semeval-1.97,4541.0,4515.0,9.0,9.0,0.9895890410958904,0.997100293636322,81
910,https://aclanthology.org/D17-1199,4362.0,4329.0,7.0,7.0,0.9343629343629344,1.000000238418579,43
911,https://aclanthology.org/P18-2105,3017.0,2984.0,5.0,5.0,0.9863112391930836,1.0000001192092896,52
912,https://aclanthology.org/2020.findings-emnlp.112,4665.0,4637.0,7.0,7.0,0.9929399899142712,1.0000001192092896,24
